subject,seed,eegnet_bacc,ea_eegnet_bacc,delta_bacc
sub-001,2024,0.5294384057971014,0.5244565217391304,-0.004981884057971064
sub-002,2024,0.6892191659272404,0.6608251996450755,-0.02839396628216495
sub-003,2024,0.55,0.49,-0.06000000000000005
sub-004,2024,0.49,0.46,-0.02999999999999997
sub-005,2024,0.5616784630940344,0.6205763397371082,0.05889787664307389
sub-006,2024,0.7375776397515528,0.5499112688553682,-0.18766637089618454
sub-007,2024,0.5900000000000001,0.53,-0.06000000000000005
sub-008,2024,0.44999999999999996,0.49,0.040000000000000036
sub-009,2024,0.5038775510204081,0.46469387755102043,-0.03918367346938767
sub-010,2024,0.5784438775510204,0.5471938775510204,-0.03125
sub-011,2024,0.45,0.52,0.07
sub-012,2024,0.42021276595744683,0.543144208037825,0.1229314420803782
sub-013,2024,0.61,0.83,0.21999999999999997
sub-014,2024,0.53,0.54,0.010000000000000009
sub-015,2024,0.5379166666666667,0.5195833333333334,-0.018333333333333313
sub-016,2024,0.4260154738878143,0.632495164410058,0.20647969052224374
sub-017,2024,0.4525709219858156,0.4966755319148936,0.044104609929078
sub-018,2024,0.5,0.59,0.08999999999999997
sub-019,2024,0.7504638218923934,0.5382653061224489,-0.21219851576994442
sub-020,2024,0.72,0.87,0.15000000000000002
sub-021,2024,0.6545809813287018,0.7082066869300911,0.05362570560138935
sub-022,2024,0.5826388888888889,0.5909722222222222,0.008333333333333304
sub-023,2024,0.6904761904761905,0.6817602040816326,-0.00871598639455784
sub-024,2024,0.53,0.53,0.0
sub-025,2024,0.56,0.53,-0.030000000000000027
sub-001,3407,0.48641304347826086,0.5013586956521738,0.014945652173912971
sub-002,3407,0.6555013309671694,0.7300354924578527,0.07453416149068326
sub-003,3407,0.5900000000000001,0.6,0.009999999999999898
sub-004,3407,0.49,0.5,0.010000000000000009
sub-005,3407,0.5111223458038423,0.4840748230535895,-0.027047522750252795
sub-006,3407,0.6410825199645076,0.5370452528837621,-0.10403726708074545
sub-007,3407,0.51,0.64,0.13
sub-008,3407,0.44,0.51,0.07
sub-009,3407,0.5255102040816326,0.423469387755102,-0.10204081632653061
sub-010,3407,0.4987244897959184,0.48511904761904756,-0.013605442176870819
sub-011,3407,0.57,0.52,-0.04999999999999993
sub-012,3407,0.5062056737588653,0.5821513002364067,0.07594562647754144
sub-013,3407,0.5,0.67,0.17000000000000004
sub-014,3407,0.49,0.55,0.06000000000000005
sub-015,3407,0.4658333333333333,0.5625,0.09666666666666668
sub-016,3407,0.5203094777562862,0.5558510638297872,0.035541586073501
sub-017,3407,0.49601063829787234,0.4434840425531915,-0.052526595744680826
sub-018,3407,0.55,0.47,-0.08000000000000007
sub-019,3407,0.7152133580705009,0.6493506493506493,-0.06586270871985156
sub-020,3407,0.95,0.8500000000000001,-0.09999999999999987
sub-021,3407,0.7818063395570993,0.7613981762917933,-0.020408163265306034
sub-022,3407,0.6465277777777778,0.6138888888888889,-0.032638888888888884
sub-023,3407,0.6409438775510204,0.6400935374149659,-0.0008503401360545615
sub-024,3407,0.54,0.52,-0.020000000000000018
sub-025,3407,0.52,0.5700000000000001,0.050000000000000044
sub-001,42,0.4891304347826087,0.47644927536231885,-0.012681159420289856
sub-002,42,0.5729813664596273,0.725377107364685,0.1523957409050577
sub-003,42,0.52,0.48,-0.040000000000000036
sub-004,42,0.52,0.5700000000000001,0.050000000000000044
sub-005,42,0.5376643073811931,0.4941860465116279,-0.04347826086956519
sub-006,42,0.8110026619343389,0.5907275953859805,-0.22027506654835838
sub-007,42,0.48,0.56,0.08000000000000007
sub-008,42,0.5,0.52,0.020000000000000018
sub-009,42,0.5457142857142857,0.4030612244897959,-0.14265306122448979
sub-010,42,0.5082908163265306,0.598001700680272,0.08971088435374142
sub-011,42,0.61,0.5,-0.10999999999999999
sub-012,42,0.4807919621749409,0.4929078014184397,0.012115839243498794
sub-013,42,0.38,0.72,0.33999999999999997
sub-014,42,0.54,0.53,-0.010000000000000009
sub-015,42,0.5604166666666667,0.5708333333333333,0.01041666666666663
sub-016,42,0.5183752417794971,0.633220502901354,0.11484526112185689
sub-017,42,0.45279255319148937,0.4966755319148936,0.04388297872340424
sub-018,42,0.6699999999999999,0.5700000000000001,-0.09999999999999987
sub-019,42,0.6924860853432282,0.7207792207792207,0.028293135435992545
sub-020,42,0.8899999999999999,0.86,-0.029999999999999916
sub-021,42,0.7924446374294398,0.7822405557967869,-0.010204081632652962
sub-022,42,0.5694444444444444,0.5902777777777778,0.02083333333333337
sub-023,42,0.6201105442176871,0.629251700680272,0.009141156462584954
sub-024,42,0.52,0.53,0.010000000000000009
sub-025,42,0.52,0.49,-0.030000000000000027
